SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-25-2016,Single Family Residential,500 Elysian Fields Dr,Oakland,CA,94605,956000,3,2.0,Sequoyah Hghlds,2194,20925,1966,693,436,,Sold,,,http://www.redfin.com/CA/Oakland/500-Elysian-Fields-Dr-94605/home/603751,EBRD/CCAR/Bay East,40735018,N,Y,37.7626667,-122.1289403
PAST SALE,April-4-2017,Single Family Residential,2581 64th Ave,Oakland,CA,94605,405000,3,2.0,Havenscourt,924,2500,1923,379,438,,Sold,,,http://www.redfin.com/CA/Oakland/2581-64th-Ave-94605/home/568704,EBRD/CCAR/Bay East,40768442,N,Y,37.7694596,-122.1863008
PAST SALE,November-23-2016,Multi-Family (2-4 Unit),7878 NEY Ave,Oakland,CA,94605-3310,665000,10,5.0,Oakland,4010,13500,1941,511,166,,Sold,,,http://www.redfin.com/CA/Oakland/7878-Ney-Ave-94605/home/1728116,EBRD/CCAR/Bay East,40725295,N,Y,37.7663818,-122.1658905
PAST SALE,March-16-2018,Single Family Residential,6575 Simson St,Oakland,CA,94605,925000,3,2.0,Millsmont Area,1788,15096,1952,33,517,,Sold,,,http://www.redfin.com/CA/Oakland/6575-Simson-St-94605/home/1775113,EBRD/CCAR/Bay East,40809150,N,Y,37.7755991,-122.1738289
PAST SALE,October-19-2016,Single Family Residential,3883 FAIRWAY Ave,Oakland,CA,94605,600000,4,2.5,Sequoyah,1420,5650,1950,546,423,,Sold,,,http://www.redfin.com/CA/Oakland/3883-Fairway-Ave-94605/home/592624,EBRD/CCAR/Bay East,40748183,N,Y,37.7601932,-122.1466407
PAST SALE,April-4-2018,Single Family Residential,3515 64Th Ave,Oakland,CA,94605,515000,2,1.0,Chevrolet Park,768,1925,1926,14,671,,Sold,,,http://www.redfin.com/CA/Oakland/3515-64th-Ave-94605/home/678553,EBRD/CCAR/Bay East,40812525,N,Y,37.7755565,-122.1781305
PAST SALE,May-10-2017,Condo/Co-op,580 Canyon Oaks Dr Unit D,Oakland,CA,94605,445087,2,2.0,Shadow Woods,1123,,1986,343,396,390,Sold,,,http://www.redfin.com/CA/Oakland/580-Canyon-Oaks-Dr-94605/unit-D/home/12116924,EBRD/CCAR/Bay East,40775578,N,Y,37.772348,-122.147093
PAST SALE,March-16-2018,Single Family Residential,2626 76Th Ave,Oakland,CA,94605,260000,2,1.0,Eastmont,962,3500,1926,33,270,,Sold,,,http://www.redfin.com/CA/Oakland/2626-76th-Ave-94605/home/1904739,EBRD/CCAR/Bay East,40802756,N,Y,37.7654993,-122.173075
PAST SALE,April-16-2018,Single Family Residential,6901 sunkist,Oakland,CA,94605,723000,4,2.5,Eastmont Hills,2250,10800,1929,2,321,,Sold,,,http://www.redfin.com/CA/Oakland/6901-Sunkist-Dr-94605/home/1937024,EBRD/CCAR/Bay East,40813908,N,Y,37.7742153,-122.1688841
PAST SALE,,Vacant Land,Mountain Blvd,Oakland,CA,94605,1400500,,,,,,,,,,,,,http://www.redfin.com/CA/Oakland/Mountain-Blvd-94605/home/143116439,,,N,Y,37.7814887,-122.1717287
PAST SALE,,Vacant Land,Leona St,Oakland,CA,94605,60000,,,,,13430,,,,,,,,http://www.redfin.com/CA/Oakland/Leona-St-94605/home/22720033,,,N,Y,37.782403,-122.171534
PAST SALE,,Single Family Residential,13625 Campus Dr,Oakland,CA,94605,2100000,5,6.0,,5197,16171,2016,,404,,,,,http://www.redfin.com/CA/Oakland/13625-Campus-Dr-94605/home/22671277,,,N,Y,37.7803227,-122.1569866
PAST SALE,July-20-2015,Townhouse,6501 BAYVIEW Dr,Oakland,CA,94605,785130,4,2.5,Oakland,2415,3325,2015,1003,325,208,Sold,,,http://www.redfin.com/CA/Oakland/6501-Bayview-Dr-94605/home/22656397,EBRD/CCAR/Bay East,40691795,N,Y,37.7786832,-122.1619876
PAST SALE,,Single Family Residential,2301 82nd Ave,Oakland,CA,94605,325000,3,3.0,,1368,7235,1928,,238,,,,,http://www.redfin.com/CA/Oakland/2301-82nd-Ave-94605/home/1547130,,,N,Y,37.7612523,-122.1688029
PAST SALE,July-10-2017,Single Family Residential,3374 64th Ave,Oakland,CA,94605-1702,580000,2,1.0,Millsmont Area,1001,2500,1924,282,579,,Sold,,,http://www.redfin.com/CA/Oakland/3374-64th-Ave-94605/home/1962942,EBRD/CCAR/Bay East,40784499,N,Y,37.7747935,-122.178585
PAST SALE,August-4-2017,Single Family Residential,6320 Majestic Ave,Oakland,CA,94605,618000,3,2.0,Millsmont Area,1104,2450,1927,257,560,,Sold,,,http://www.redfin.com/CA/Oakland/6320-Majestic-Ave-94605/home/564896,EBRD/CCAR/Bay East,40787036,N,Y,37.7759662,-122.1776427
PAST SALE,August-27-2017,Single Family Residential,6708 Simson St,Oakland,CA,94605,425000,2,1.0,Millmont,737,6900,1925,234,577,,Sold,,,http://www.redfin.com/CA/Oakland/6708-Simson-St-94605/home/1957532,EBRD/CCAR/Bay East,40782932,N,Y,37.7748041,-122.1722768
PAST SALE,June-10-2015,Single Family Residential,6506 SIMSON St,Oakland,CA,94605,517000,2,1.0,Millsmont Area,957,6786,1961,1043,540,,Sold,,,http://www.redfin.com/CA/Oakland/6506-Simson-St-94605/home/1817136,EBRD/CCAR/Bay East,40697652,N,Y,37.7765346,-122.1736959
PAST SALE,October-24-2017,Single Family Residential,2333 80th Ave,Oakland,CA,94605-3234,330000,3,2.0,East Oakland,1306,5227,1926,176,253,,Sold,,,http://www.redfin.com/CA/Oakland/2333-80th-Ave-94605/home/1833353,EBRD/CCAR/Bay East,40787596,N,Y,37.7626297,-122.1693941
PAST SALE,February-22-2018,Multi-Family (2-4 Unit),6430 Bancroft Ave,Oakland,CA,94605,550000,4,2.0,Oakland,1823,5500,1942,55,302,,Sold,,,http://www.redfin.com/CA/Oakland/6430-Bancroft-Ave-94605/home/1798739,EBRD/CCAR/Bay East,40803080,N,Y,37.7702043,-122.1845604
PAST SALE,June-9-2015,Single Family Residential,4061 OAK HILL Rd,Oakland,CA,94605,829000,4,3.0,Sequoyah Heights,2770,9600,1959,1044,299,,Sold,,,http://www.redfin.com/CA/Oakland/4061-Oak-Hill-Rd-94605/home/537069,EBRD/CCAR/Bay East,40690926,N,Y,37.760364,-122.1420939
PAST SALE,March-24-2017,Single Family Residential,2906 Millsbrae Ave,Oakland,CA,94605,715000,3,2.0,Mills Gardens,1244,4960,1925,390,575,,Sold,,,http://www.redfin.com/CA/Oakland/2906-Millsbrae-Ave-94605/home/1642354,EBRD/CCAR/Bay East,40771162,N,Y,37.7743802,-122.18762
